Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/03/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,11172662,"101,521.00",,6007461
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,11159752,"33,345.37",,53402
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,CAMBIAN HEALTHCARE LTD,11229498,"26,397.80",,HEI013844
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,11202395,"162,816.75",,100010586
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,11202395,"158,352.50",,100010586
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,11232118,"31,663.25",,100010609
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,11299358,"73,476.92",,100011085
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,Winter Resilience,CARE UK CLINICAL SERVICES LTD,11352500,"91,500.00",,100011741
Department of Health,NHS Rotherham CCG,31/03/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,11299194,"30,003.00",,4530402
Department of Health,NHS Rotherham CCG,31/03/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,11299288,"25,690.00",,MAN60416
