Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/05/2014,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS WEST AND SOUTH YORKSHIRE AND BASSETLAW CSU,3632828,"-167,629.00",
Department of Health,NHS Rotherham CCG,31/05/2014,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),3600638,"25,285.05",
Department of Health,NHS Rotherham CCG,31/05/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,3648012,"27,916.67",594959072
Department of Health,NHS Rotherham CCG,31/05/2014,External Consultancy Fees,ADMINISTRATION & BUSINESS SUPPORT,ATTAIN COMMISIONING SERVICES LTD,3674099,"30,490.00",
Department of Health,NHS Rotherham CCG,31/05/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,3539297,"34,252.22",594959072
Department of Health,NHS Rotherham CCG,31/05/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,3769578,"34,252.22",594959072
Department of Health,NHS Rotherham CCG,31/05/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,3763650,"34,713.89",
Department of Health,NHS Rotherham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,3647734,"36,342.00",
Department of Health,NHS Rotherham CCG,31/05/2014,Computer Software/License,PROGRAMME PROJECTS,ROTHERHAM NHS FOUNDATION TRUST,3525864,"43,747.80",
Department of Health,NHS Rotherham CCG,31/05/2014,Clinical&Medical-Othe Public Sector,ACUTE CHILDRENS SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,3539293,"50,000.00",
Department of Health,NHS Rotherham CCG,31/05/2014,Healthcare Srv Rec CCG,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,3718223,"51,711.00",
