Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,12025137,"158,321.00",,2148
Department of Health,NHS Rotherham CCG,31/05/2016,External Consultancy Fees,ADMINISTRATION & BUSINESS SUPPORT,ATTAIN COMMISIONING SERVICES LTD,12150040,"34,248.00",,1925
Department of Health,NHS Rotherham CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,11987374,"109,717.03",,6008217
Department of Health,NHS Rotherham CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,12001536,"118,369.00",,6008227
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,11987367,"25,462.92",,55878
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12001524,"33,345.36",,56671
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,12025384,"162,816.75",,100014941
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,12025384,"158,352.50",,100014941
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,12035196,"44,673.25",,100014855
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,12493189,"81,074.24",,100016325
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,12082889,"25,690.00",,MAN70017
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,11987248,"158,087.00",,EABJD16A
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,11987261,"233,000.00",,EABJD16D
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,11987329,"-223,456.00",,EABJD03
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,11987339,"39,522.00",,EABJD20
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,11987346,"-158,087.00",,EABJD01
Department of Health,NHS Rotherham CCG,31/05/2016,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,11987356,"-233,000.00",,EABJD02
Department of Health,NHS Rotherham CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,12001457,"792,231.00",,82145159
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048531,"-38,849.85",,ROT000006334
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048531,-152.92,,ROT000006334
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048531,-48.92,,ROT000006334
Department of Health,NHS Rotherham CCG,31/05/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048531,-911.25,,ROT000006334
Department of Health,NHS Rotherham CCG,31/05/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048531,-965.25,,ROT000006334
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,"2,996.65",,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,914.83,,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,"2,677.08",,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,14.43,,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,"-1,662.89",,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,464,,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,"74,700.67",,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048532,"7,258.58",,ROT000006335
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,"-81,597.25",,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,-324.16,,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,-150.76,,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,-158.38,,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,-47.67,,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,"-6,702.50",,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048529,"-6,756.76",,ROT000006332
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048530,"8,640.75",,ROT000006333
Department of Health,NHS Rotherham CCG,31/05/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,12048530,"6,926.67",,ROT000006333
