Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1690470,"(145,434.00)"
Department of Health,NHS Rotherham CCG,30/11/2013,Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,1622466,"(77,423.00)"
Department of Health,NHS Rotherham CCG,30/11/2013,Miscellaneous Expenditure (L9),ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1844460,"(55,720.00)"
Department of Health,NHS Rotherham CCG,30/11/2013,Healthcare Srv Rec CCG,AMBULANCE SERVICES,NHS GREATER HUDDERSFIELD CCG,1622432,"(46,735.38)"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,1690461,"(35,380.00)"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),1815393,"(32,000.00)"
Department of Health,NHS Rotherham CCG,30/11/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1827934,"(27,999.70)"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1869347,"30,000.00"
Department of Health,NHS Rotherham CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1827944,"30,118.35"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1769425,"31,923.74"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,1659352,"33,713.89"
Department of Health,NHS Rotherham CCG,30/11/2013,Non-Executive Members,ADMINISTRATION & BUSINESS SUPPORT,NHS COMMISSIONING BOARD,1622441,"35,365.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1769292,"42,787.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Contract- Refuse & Clinical Waste,COMMUNITY SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1843776,"54,000.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Miscellaneous Expenditure (L9),ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1857251,"55,720.00"
Department of Health,NHS Rotherham CCG,30/11/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1827935,"71,417.50"
Department of Health,NHS Rotherham CCG,30/11/2013,C&M-PMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,NHS COMMISSIONING BOARD,1622441,"72,030.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,1658825,"77,423.00"
Department of Health,NHS Rotherham CCG,30/11/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1827937,"78,312.84"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1622423,"79,544.70"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1815422,"81,555.26"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,1704535,"91,544.40"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,1704541,"95,000.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,NHS SHEFFIELD CCG,1622461,"102,725.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1645108,"103,761.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1707895,"111,058.00"
Department of Health,NHS Rotherham CCG,30/11/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1769329,"121,959.19"
Department of Health,NHS Rotherham CCG,30/11/2013,Healthcare Srv Rec CCG,AMBULANCE SERVICES,NHS GREATER HUDDERSFIELD CCG,1622434,"123,558.49"
