Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/11/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,29717232,"149,100.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,29717228,"25,613.94"
Department of Health,NHS Rotherham CCG,30/11/2019,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,CARE FEE RECOVERY LTD,29829950,"26,559.90"
Department of Health,NHS Rotherham CCG,30/11/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,29717233,"49,555.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,29810383,"47,408.00"
Department of Health,NHS Rotherham CCG,30/11/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,29877295,"19,011.79"
Department of Health,NHS Rotherham CCG,30/11/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,29877295,"8,882.71"
Department of Health,NHS Rotherham CCG,30/11/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,29877295,"19,479.95"
Department of Health,NHS Rotherham CCG,30/11/2019,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CYGNET HEALTH CARE LTD,29958166,"26,277.63"
Department of Health,NHS Rotherham CCG,30/11/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29864360,"25,907.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29882554,"25,907.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29882555,"25,907.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29882556,"25,907.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29882557,"25,907.00"
Department of Health,NHS Rotherham CCG,30/11/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29900015,"25,907.00"
