Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,5595169,"88,107.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,5832869,"34,252.21",594959072
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5639684,"69,215.32",594959072
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5833002,"311,481.33",594959072
Department of Health,NHS Rotherham CCG,30/11/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,5830137,"-30,455.35",
Department of Health,NHS Rotherham CCG,30/11/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,5830138,"70,891.74",
Department of Health,NHS Rotherham CCG,30/11/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,5830140,"64,566.56",
Department of Health,NHS Rotherham CCG,30/11/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,5830146,"30,639.71",878533770
Department of Health,NHS Rotherham CCG,30/11/2014,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,GREENSIDE HEALTH CARE LTD,5716798,"29,437.98",
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,NHS SHEFFIELD CCG,5640199,"91,971.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Commercial Sector,NCAS/OATS,ONEHEALTH GROUP,5611070,"26,412.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,5781051,"32,952.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,5781091,"36,000.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,5680020,"254,549.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,5680013,"2,198,415.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),5852074,"666,654.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Contract & Agency-Agency Nursing,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,5797875,"35,822.52",
Department of Health,NHS Rotherham CCG,30/11/2014,Contract & Agency-Agency Nursing,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,5894083,"56,613.27",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,5716980,"400,000.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,5852088,"426,667.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,5852084,"864,341.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,5871094,"2,422,501.76",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,5871094,"10,294,496.92",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,5594979,"154,477.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5639996,"38,625.00",654400165
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5640011,"188,404.00",654400165
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5640004,"1,544,988.00",654400165
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,5595344,"51,711.00",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,5639917,"103,596.50",
Department of Health,NHS Rotherham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,5639905,"535,440.40",
