Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/10/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1555989,"-29,297.57",
Department of Health,NHS Rotherham CCG,31/10/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,1546037,"-25,808.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,1546043,"-25,808.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,1546047,"-25,808.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1449761,"-25,294.32",
Department of Health,NHS Rotherham CCG,31/10/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,1545613,"25,808.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,1545615,"25,808.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,1545616,"25,808.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,SENSE CHILDREN & ADULT SER,1499689,"26,691.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1485651,"31,923.74",
Department of Health,NHS Rotherham CCG,31/10/2013,Computer Network Costs,ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM NHS FOUNDATION TRUST,1485723,"35,345.01",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1398446,"38,755.00",654400165
Department of Health,NHS Rotherham CCG,31/10/2013,Other Research Exp,EDUCATION AND TRAINING,ROTHERHAM NHS FOUNDATION TRUST,1354363,"40,000.00",
Department of Health,NHS Rotherham CCG,31/10/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1556000,"41,309.49",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1398393,"44,667.00",654400165
Department of Health,NHS Rotherham CCG,31/10/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1555993,"55,168.24",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1334607,"103,761.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1410305,"111,058.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,1334492,"156,403.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,1530728,"156,403.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1410297,"161,264.00",654400165
Department of Health,NHS Rotherham CCG,31/10/2013,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,1425652,"163,113.55",
Department of Health,NHS Rotherham CCG,31/10/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1530561,"271,396.99",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1380596,"532,851.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,1368858,"898,983.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1410301,"1,550,206.00",654400165
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,1368667,"2,216,666.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,1580216,"2,222,409.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,1410310,"2,258,766.00",
Department of Health,NHS Rotherham CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,1580221,"10,432,250.00",
