Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9412953,"101,521.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9399026,"33,345.33",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9705714,"33,345.33",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,CAIREACH LTD,9438675,"53,155.71",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,9428362,"31,663.25",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,9438735,"162,816.75",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,9438735,"158,352.50",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,9497749,"26,826.53",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,9617586,"76,370.67",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,9482581,"25,690.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Computer Network Costs,PRIMARY CARE IT,DELL CORPORATION LTD,9637078,"48,146.06",635823528
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,9412946,"793,202.00",
Department of Health,NHS Rotherham CCG,31/10/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,9665437,"-31,044.76",
Department of Health,NHS Rotherham CCG,31/10/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,9665438,"1,262.80",
Department of Health,NHS Rotherham CCG,31/10/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,9665438,"57,007.18",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,9617636,"-32,597.61",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,9629077,"25,451.77",
Department of Health,NHS Rotherham CCG,31/10/2015,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,NHS SHEFFIELD CCG,9705767,"94,668.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,9438819,"100,982.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,9438819,"40,841.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,9427800,"50,655.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,9513711,"2,262,041.91",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,9513721,"233,854.50",
Department of Health,NHS Rotherham CCG,31/10/2015,Computer Hardware Purch,PRIMARY CARE IT,ROTHERHAM NHS FOUNDATION TRUST,9513691,"279,693.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,9666934,"11,451,630.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,9666934,"2,124,986.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,9666934,"25,000.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Computer Network Costs,IM&T,ROTHERHAM NHS FOUNDATION TRUST,9681493,"44,497.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Prescribing,PRESCRIBING,ROTHERHAM NHS FOUNDATION TRUST,9681501,"78,763.25",
Department of Health,NHS Rotherham CCG,31/10/2015,Computer Hardware Purch,PRIMARY CARE IT,ROTHERHAM NHS FOUNDATION TRUST,9692449,"139,847.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,9412941,"159,866.00",
Department of Health,NHS Rotherham CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9412993,"1,654,417.00",654400165
