Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/06/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,27634981,"149,100.00"
Department of Health,NHS Rotherham CCG,30/06/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,27547275,"25,613.94"
Department of Health,NHS Rotherham CCG,30/06/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,27634984,"49,555.00"
Department of Health,NHS Rotherham CCG,30/06/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,27674062,"47,408.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,27442410,"809,381.00"
Department of Health,NHS Rotherham CCG,30/06/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27609413,"38,940.42"
Department of Health,NHS Rotherham CCG,30/06/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27609413,5.04
Department of Health,NHS Rotherham CCG,30/06/2019,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27609413,"3,695.00"
Department of Health,NHS Rotherham CCG,30/06/2019,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27609413,"1,132.79"
Department of Health,NHS Rotherham CCG,30/06/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27609413,996.69
