Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/09/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,23884007,"143,180.00"
Department of Health,NHS Rotherham CCG,30/09/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,23782087,"34,405.77"
Department of Health,NHS Rotherham CCG,30/09/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,23866090,"56,509.05"
Department of Health,NHS Rotherham CCG,30/09/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,23866091,"52,570.00"
Department of Health,NHS Rotherham CCG,30/09/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,23722879,"844,038.00"
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,"37,621.18"
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,"2,584.00"
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,"1,534.18"
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,"1,051.90"
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,"2,833.33"
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,588
Department of Health,NHS Rotherham CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23814988,"3,091.85"
