Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,25614646,"158,321.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,25614922,"158,321.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,25614925,"(158,321.00)"
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,25752686,"45,000.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,External Consultancy Fees,ADMINISTRATION & BUSINESS SUPPORT,ATTAIN HEALTH MANAGEMENT SERVICES LTD,25679710,"31,620.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,25410428,"143,180.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,25410424,"34,405.77 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,25556344,"56,509.05 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,25556431,"52,570.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,25771581,"49,608.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS LES Extended Hours,GP FORWARD VIEW,CONNECT HEALTHCARE ROTHERHAM LTD,25632141,"50,000.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,25614848,"40,865.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,25695875,"55,989.00 "
Department of Health,NHS Rotherham CCG,31/12/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,25363131,"844,038.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480602,"38,190.89 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480602,"1,051.90 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480602,"2,833.33 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480602,588.00 
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480602,"3,091.85 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480600,"98,611.77 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480600,795.88 
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480600,"7,331.33 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480600,"2,436.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480600,"9,960.27 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480604,"94,990.89 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480604,94.11 
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480604,"10,122.75 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480604,"15,275.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480604,"1,944.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480604,"8,208.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726016,"46,018.70 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726016,123.39 
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726016,"2,991.67 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726016,316.00 
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726016,"5,377.31 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480610,"112,196.42 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480610,17.01 
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480610,"1,785.74 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480610,"10,389.28 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726018,"87,288.25 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726018,"2,572.20 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726018,"7,413.75 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726018,"2,319.00 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25726018,"9,727.86 "
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,(356.35)
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,(589.05)
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,"(8,054.45)"
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,"(2,334.69)"
Department of Health,NHS Rotherham CCG,31/01/2019,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,(86.63)
Department of Health,NHS Rotherham CCG,31/01/2019,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,(720.00)
Department of Health,NHS Rotherham CCG,31/01/2019,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,"(10,910.22)"
Department of Health,NHS Rotherham CCG,31/01/2019,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GPPRACTICE,25480607,"(11,438.09)"
