Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,28/02/2019,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,ARDENS HEALTH INFORMATICS LTD,25984199,"78,881.89"
Department of Health,NHS Rotherham CCG,28/02/2019,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES LTD,26171932,"53,040.00"
Department of Health,NHS Rotherham CCG,28/02/2019,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES LTD,26171965,"44,880.00"
Department of Health,NHS Rotherham CCG,28/02/2019,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES LTD,26171978,"-53,040.00"
Department of Health,NHS Rotherham CCG,28/02/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,25984151,"143,180.00"
Department of Health,NHS Rotherham CCG,28/02/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,25871979,"34,405.77"
Department of Health,NHS Rotherham CCG,28/02/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,25984207,"56,509.05"
Department of Health,NHS Rotherham CCG,28/02/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,25984226,"52,570.00"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Practice Transformational Support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,25881300,"125,000.00"
Department of Health,NHS Rotherham CCG,31/01/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,25730245,"844,038.00"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25956123,"38,369.95"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25956123,"2,520.00"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25956123,"2,513.62"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25956123,"1,051.90"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25956123,"2,833.33"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25956123,"3,091.85"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928649,"98,611.77"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928649,"1,680.00"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928649,8.54
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928649,"7,331.33"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928649,"9,960.27"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928652,"95,080.41"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928652,94.11
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25928652,"8,208.00"
Department of Health,NHS Rotherham CCG,28/02/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,26119289,840
