Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,ASC HEALTHCARE LTD,26436379,"39,817.14"
Department of Health,NHS Rotherham CCG,31/03/2019,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES LTD,26447392,"30,600.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,26331427,"143,180.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,26287751,"34,405.77"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,26331488,"56,509.05"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,26447340,"52,570.00"
Department of Health,NHS Rotherham CCG,31/03/2019,C&M-PMS LES Extended Hours,GP FORWARD VIEW,CONNECT HEALTHCARE ROTHERHAM LTD,26447372,"345,000.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical- Non NHS LES,PRIMARY CARE INVESTMENTS,CONNECT HEALTHCARE ROTHERHAM LTD,26603619,"200,000.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,26603624,"395,000.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,26603629,"53,000.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical- Non NHS LES,PRIMARY CARE INVESTMENTS,CONNECT HEALTHCARE ROTHERHAM LTD,26613020,"275,000.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,26569795,"65,000.00"
Department of Health,NHS Rotherham CCG,31/03/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,26514630,"32,153.40"
