Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/04/2019,Computer Network Costs,NON RECURRENT PROGRAMMES,AXON MOORE LTD,26839790,"48,313.92 "
Department of Health,NHS Rotherham CCG,30/04/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,26791933,"149,100.00 "
Department of Health,NHS Rotherham CCG,30/04/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,BEECH CLIFFE LTD,27034001,"60,596.25 "
Department of Health,NHS Rotherham CCG,30/04/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,BEECH CLIFFE LTD,27034001,"11,508.84 "
Department of Health,NHS Rotherham CCG,30/04/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,26791699,"34,405.77 "
Department of Health,NHS Rotherham CCG,30/04/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,26791978,"49,555.00 "
Department of Health,NHS Rotherham CCG,30/04/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,26791949,"47,408.00 "
Department of Health,NHS Rotherham CCG,31/03/2019,Computer Hardware Purch,NON RECURRENT PROGRAMMES,CLOUD2 LTD,26635164,"37,041.60 "
Department of Health,NHS Rotherham CCG,30/04/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,27015074,"41,941.00 "
Department of Health,NHS Rotherham CCG,30/04/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,27034002,"57,463.00 "
Department of Health,NHS Rotherham CCG,30/04/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,26792023,"80,735.00 "
Department of Health,NHS Rotherham CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,26664614,"(219,295.00)"
Department of Health,NHS Rotherham CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,26664637,"839,102.00 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,26783127,"38,280.33 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,26783127,996.69 
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,26783127,"2,833.33 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,26783127,662.22 
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,26783127,"3,168.82 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,26783125,"98,525.08 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,26783125,"7,331.33 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,26783125,"10,425.97 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR AJ COLE & PARTNERS,26783129,"93,121.92 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR AJ COLE & PARTNERS,26783129,"25,397.75 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AJ COLE & PARTNERS,26783129,"8,615.91 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AVERY & PARTNERS,26983691,"46,507.16 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DR AVERY & PARTNERS,26983691,61.70 
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AVERY & PARTNERS,26983691,"2,991.67 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AVERY & PARTNERS,26983691,355.32 
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR AVERY & PARTNERS,26983691,96.20 
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AVERY & PARTNERS,26983691,"5,424.35 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR COOPER & PARTNERS ROTHERHAM,26783135,"111,028.33 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR COOPER & PARTNERS ROTHERHAM,26783135,"6,759.56 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR COOPER & PARTNERS ROTHERHAM,26783135,"1,785.74 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR COOPER & PARTNERS ROTHERHAM,26783135,"9,254.42 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR D G POLKINGHORN & PARTNERS,26983693,"3,360.00 "
Department of Health,NHS Rotherham CCG,30/04/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR D G POLKINGHORN & PARTNERS,26983693,"88,634.18 "
