Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/05/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,27108051,"70,000.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,27107953,"149,100.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,27119003,"34,405.77"
Department of Health,NHS Rotherham CCG,31/05/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,27142000,"49,555.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Computer Hardware Purch,IM&T PROJECTS,CHANNEL 3 CONSULTING LTD,27178002,"30,000.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Computer Hardware Purch,IM&T PROJECTS,CHANNEL 3 CONSULTING LTD,27178003,"60,000.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,27273770,"47,408.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,27209870,"61,278.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,26993046,"809,381.00"
Department of Health,NHS Rotherham CCG,31/05/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,26993048,"-29,721.00"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,"38,280.33"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,"1,960.00"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,10.08
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,996.69
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,"2,833.33"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,662
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,132.18
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185054,"3,168.86"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185052,"98,916.28"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185052,"2,800.00"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185052,"7,331.33"
Department of Health,NHS Rotherham CCG,31/05/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,27185052,"10,425.94"
