Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/07/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,28062762,"149,100.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,27983201,"25,613.94"
Department of Health,NHS Rotherham CCG,31/07/2019,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,CARE COSTS LTD,28226434,"52,431.93"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,27983288,"49,555.00"
Department of Health,NHS Rotherham CCG,30/06/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,27842876,"39,821.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28050844,"33,708.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28087365,"45,643.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28087513,"47,408.00"
Department of Health,NHS Rotherham CCG,31/07/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,28185567,"19,012.11"
Department of Health,NHS Rotherham CCG,31/07/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,28185567,"8,882.71"
Department of Health,NHS Rotherham CCG,31/07/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,28185567,"77,918.18"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,28209033,"41,941.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,28226455,"57,463.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,28226468,"61,278.00"
Department of Health,NHS Rotherham CCG,31/07/2019,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,CYGNET HEALTH CARE LTD,28208997,"30,547.25"
