Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/08/2019,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES LTD,28763256,"38,664.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,28406014,"149,100.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,28406088,"49,555.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,28503111,"-35,826.23"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28503094,"31,077.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28543431,"47,408.00"
Department of Health,NHS Rotherham CCG,31/08/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,28386369,"19,012.11"
Department of Health,NHS Rotherham CCG,31/08/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,28386369,"8,882.71"
Department of Health,NHS Rotherham CCG,31/08/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,28386369,"19,479.95"
Department of Health,NHS Rotherham CCG,31/08/2019,C&M-APMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,28543452,"36,885.75"
