Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/09/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,28854121,"32,294.00"
Department of Health,NHS Rotherham CCG,30/09/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,28988799,"149,100.00"
Department of Health,NHS Rotherham CCG,30/09/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,29162460,"44,139.53"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28750472,"25,613.94"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28406019,"25,613.94"
Department of Health,NHS Rotherham CCG,30/09/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,28988802,"49,555.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,CHAS A BLATCHFORD & SONS LTD,28750367,"48,745.45"
Department of Health,NHS Rotherham CCG,30/09/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,29162434,"26,187.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,28750466,"26,187.00"
Department of Health,NHS Rotherham CCG,30/09/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28988796,"44,511.00"
Department of Health,NHS Rotherham CCG,30/09/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,28988814,"47,408.00"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,29116783,"19,011.79"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,29116783,"8,882.71"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,29116783,"19,479.95"
Department of Health,NHS Rotherham CCG,31/08/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,28674179,"809,381.00"
Department of Health,NHS Rotherham CCG,31/08/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,28750552,"82,510.00"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,"38,500.36"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,5.37
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,733.15
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,"1,127.85"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,996.69
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,"2,833.33"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,662.00
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878457,"3,168.86"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,"99,883.30"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,"1,887.18"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,719.80
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,"1,809.24"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,"7,331.33"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,"2,492.00"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878455,"10,425.94"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878459,"93,657.00"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878459,40.56
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878459,"1,778.35"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878459,687.84
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,28878459,"8,615.94"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29106492,"46,206.20"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29106492,61.70
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29106492,955.79
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29106492,"1,678.19"
Department of Health,NHS Rotherham CCG,30/09/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29106492,"2,991.67"
