Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/04/2020,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,31753384,"158,321.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES LTD,31847851,"59,160.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,31750323,"177,735.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,31798841,"177,735.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Clinical&Medical-Voluntary Sector,HOSPICES,BLUEBELL WOOD CHILDRENS HOSPICE,31736517,"150,000.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,32054055,"26,264.24"
Department of Health,NHS Rotherham CCG,30/04/2020,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,CHANNEL 3 CONSULTING LTD,32141840,"-120,000.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Contract & Agency-Agency Spec Contr,NON RECURRENT PROGRAMMES,CHANNEL 3 CONSULTING LTD,32154046,"120,000.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,31915612,"39,287.00"
Department of Health,NHS Rotherham CCG,30/04/2020,C&M-APMS LES Extended Hours,GP FORWARD VIEW,CONNECT HEALTHCARE ROTHERHAM LTD,31736475,"475,000.00"
Department of Health,NHS Rotherham CCG,30/04/2020,C&M-APMS LES Extended Hours,GP FORWARD VIEW,CONNECT HEALTHCARE ROTHERHAM LTD,31983863,"143,631.76"
Department of Health,NHS Rotherham CCG,30/04/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32054042,"19,011.79"
Department of Health,NHS Rotherham CCG,30/04/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32054042,"8,882.71"
Department of Health,NHS Rotherham CCG,30/04/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,32054042,"19,479.95"
Department of Health,NHS Rotherham CCG,30/04/2020,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,32141827,"42,529.00"
