Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,NHS Rotherham CCG,30/06/2020,Prescribing,MEDICINES MANAGEMENT - CLINICAL,AMCARE LTD,32737128,"91,908.56"
Department of Health,NHS Rotherham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,32586348,"177,735.00"
Department of Health,NHS Rotherham CCG,30/06/2020,Clinical&Medical-Voluntary Sector,PALLIATIVE CARE,BLUEBELL WOOD CHILDRENS HOSPICE,32737149,"28,000.00"
Department of Health,NHS Rotherham CCG,30/06/2020,Clinical&Medical-Voluntary Sector,HOSPICES,BLUEBELL WOOD CHILDRENS HOSPICE,32841058,"160,013.00"
Department of Health,NHS Rotherham CCG,30/06/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BYRON LODGE NURSING HOME,32851341,"24,888.00"
Department of Health,NHS Rotherham CCG,30/06/2020,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,BYRON LODGE NURSING HOME,32851341,"3,672.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32737094,"20,005.17"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32737094,"9,981.20"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,32737094,"20,695.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32737094,"7,993.26"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32737105,"20,005.17"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32737105,"9,981.20"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,32737105,"20,695.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32737105,"7,993.26"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,32851187,"104,480.23"
Department of Health,NHS Rotherham CCG,30/06/2020,Hlthcre-Foundation Trsts,LEARNING DIFFICULTIES,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,32586354,"67,050.00"
