Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,NHS Rotherham CCG,8/31/2020,Prescribing,MEDICINES MANAGEMENT - CLINICAL,AMCARE LTD,33515598,"90,543.40"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,PRC DELEGATED CO-COMMISSIONING,ARDENS HEALTH INFORMATICS LTD,33396994,"9,246.80"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,PRC DELEGATED CO-COMMISSIONING,ARDENS HEALTH INFORMATICS LTD,33396994,"47,689.20"
Department of Health,NHS Rotherham CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,33433077,"177,735.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,33439004,"-68,381.77"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,33515530,"68,381.77"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33515535,"20,005.17"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33515535,"9,981.20"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,33515535,"20,695.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33515535,"7,953.26"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33515593,"-56,266.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33515602,"-56,266.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33533534,"56,266.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Clinical&Medical- Non NHS LES,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33533661,"56,266.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33572512,"20,005.17"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33572512,"9,981.20"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,33572512,"20,695.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33572512,"7,973.26"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33670162,"35,627.68"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33670165,"25,537.99"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33670166,"25,537.99"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-APMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33670167,"40,474.51"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PCN DES PHARMACY TECHNICIANS,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,33670167,"7,648.05"
Department of Health,NHS Rotherham CCG,8/31/2020,Hlthcre-Foundation Trsts,LEARNING DIFFICULTIES,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,33433091,"67,050.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Office Equipment,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,33457659,"38,200.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Office Equipment,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,33457659,"7,640.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Office Equipment,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,33457660,"30,560.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Office Equipment,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,33457660,"6,112.00"
Department of Health,NHS Rotherham CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,33433080,"842,299.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,"38,867.90"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,727.9
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,991.45
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,"2,833.33"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,774
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,98.34
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,"3,295.64"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489967,582
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,"101,016.65"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,15.12
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,"1,900.57"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,718.8
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,"7,331.33"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,"2,532.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489965,"10,983.41"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489969,"93,821.09"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489969,6.86
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489969,"1,764.97"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489969,"2,021.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489969,"8,761.49"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668192,"47,796.22"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668192,938.93
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668192,"3,166.67"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668192,415
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668192,69.64
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668192,"5,285.22"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,"111,839.69"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,140
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,23.14
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,"2,104.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,"1,789.21"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,521.05
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,"11,079.17"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489974,1.67
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,"92,738.47"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,"1,825.31"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,"14,012.16"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,"7,413.75"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,"2,495.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,240.61
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668194,"10,106.14"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489972,-586.33
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489972,"-8,321.94"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489972,-86.23
Department of Health,NHS Rotherham CCG,8/31/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489972,-540
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489972,"-9,386.75"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489972,"-10,173.84"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,"174,657.73"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,"3,284.92"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,"12,725.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,"7,477.08"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,"5,023.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,"22,820.88"
Department of Health,NHS Rotherham CCG,8/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,58.1
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,360
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,313.55
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,333.99
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33509200,50.56
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33685417,"60,349.80"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33685417,"8,119.81"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33685417,960.75
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"2,717.51"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"97,519.78"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"6,873.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"3,326.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33489971,"7,110.08"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"1,834.73"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"14,551.50"
