Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,28/02/2018,External Consultancy Fees,ADMINISTRATION & BUSINESS SUPPORT,ATTAIN HEALTH MANAGEMENT SERVICES LTD,20984521,"45,792.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,20889190,"110,213.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20812763,"26,541.85 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,20812795,"41,051.32 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,20812823,"46,830.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,20735305,"55,989.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,20735314,"40,865.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,20735320,"58,250.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,20984481,"233,000.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20718849,"(122,777.00)"
Department of Health,NHS Rotherham CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20735301,"39,176.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20735355,"834,804.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,"36,357.44 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,"2,520.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,"3,629.25 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,17.42 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,"2,677.08 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,"1,051.90 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,156.25 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,106.20 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,236.50 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828408,"3,300.53 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,"93,889.40 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,"2,380.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,"1,077.92 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,6.47 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,"2,178.12 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,"7,331.33 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,428.40 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828357,"9,545.93 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,"92,483.66 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,"4,340.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,"1,020.33 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,5.39 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,"3,275.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,"5,345.83 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,330.40 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20828414,"9,058.03 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21013602,"2,380.00 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21013602,"44,126.88 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21013602,185.09 
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21013602,"2,991.67 "
Department of Health,NHS Rotherham CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21013602,285.00 
