Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,20383282,"110,213.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20383261,"26,541.85 "
Department of Health,NHS Rotherham CCG,31/01/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,20383304,"41,051.32 "
Department of Health,NHS Rotherham CCG,31/01/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,20435999,"29,174.92 "
Department of Health,NHS Rotherham CCG,31/01/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,20436115,"46,830.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Practice Transformational Support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,20288654,"213,357.06 "
Department of Health,NHS Rotherham CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20288719,"(834,804.00)"
Department of Health,NHS Rotherham CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20301376,"834,804.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20301396,"834,804.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,"37,393.47 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,"3,629.25 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,60.56 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,"1,051.90 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,156.25 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,"1,168.20 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,204.80 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368953,"3,300.53 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,"94,066.13 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS DES TPP QRISK,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,637.00 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,"1,077.92 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,15.74 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,"7,331.33 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,"4,712.40 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20396895,"9,545.93 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,"91,788.94 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,"1,020.33 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,56.99 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,"3,275.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,"5,345.83 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,"3,634.40 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368955,"9,058.03 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625278,"44,126.88 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625278,185.09 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625278,"2,991.67 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625278,285.00 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625278,"5,826.52 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368961,"112,363.16 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368961,"1,348.67 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368961,163.21 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368961,"1,777.14 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368961,"11,408.17 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625280,"84,087.66 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625280,"3,858.30 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625280,"6,994.79 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625280,"1,916.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625280,"9,824.76 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,(77.99)
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,(588.53)
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,"(7,731.94)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,"(1,530.40)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,"(1,788.54)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,(86.63)
Department of Health,NHS Rotherham CCG,31/01/2018,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,(675.00)
Department of Health,NHS Rotherham CCG,31/01/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,"(13,225.01)"
Department of Health,NHS Rotherham CCG,31/01/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368958,"(13,857.53)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"163,727.62 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"2,380.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"4,236.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,3.87 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"12,510.33 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"7,078.33 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"8,417.20 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368959,"20,546.71 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649905,"(25,614.30)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20649905,"(1,040.60)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649906,"40,748.50 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20649906,"7,721.49 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649906,"1,040.60 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368957,"91,748.90 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368957,840.00 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368957,"4,022.08 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368957,"14,424.42 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368957,"5,924.60 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20368957,"11,193.86 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649903,"(33,827.72)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20649903,"(1,393.20)"
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649904,"62,670.32 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20649904,"11,537.49 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649904,"1,393.20 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,"82,704.81 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,"3,259.32 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,762.92 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,"8,908.34 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,"1,336.00 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,158.73 
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20625282,"9,420.36 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,20649911,"24,904.69 "
Department of Health,NHS Rotherham CCG,31/01/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20649911,"4,626.39 "
