Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/07/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22929438,"143,180.00"
Department of Health,NHS Rotherham CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22911116,"34,405.77"
Department of Health,NHS Rotherham CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,22929697,"56,509.05"
Department of Health,NHS Rotherham CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,23151322,"-29,430.34"
Department of Health,NHS Rotherham CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,23037261,"52,570.00"
Department of Health,NHS Rotherham CCG,31/07/2018,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,23151279,"40,865.00"
Department of Health,NHS Rotherham CCG,31/07/2018,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,23151285,"55,989.00"
Department of Health,NHS Rotherham CCG,31/07/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,22929362,"93,604.00"
Department of Health,NHS Rotherham CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,22725342,"844,038.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952192,"36,925.47"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952192,"1,051.90"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952192,"2,833.33"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952192,588
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952192,"3,091.85"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952190,"96,712.89"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952190,"7,331.33"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952190,"2,436.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952190,"9,960.27"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952194,"93,927.58"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952194,36.82
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952194,"9,450.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952194,"15,275.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952194,"8,208.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185799,"45,032.52"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185799,123.39
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185799,"2,991.67"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185799,316
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185799,"5,377.31"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,"110,797.25"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,14.38
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,"8,116.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,"1,726.73"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,"10,389.28"
Department of Health,NHS Rotherham CCG,31/07/2018,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,"2,025.00"
Department of Health,NHS Rotherham CCG,31/07/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979962,"2,157.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185801,"86,375.80"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185801,"2,572.20"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185801,"6,994.79"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185801,"2,319.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185801,186
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185801,"9,727.86"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952197,-590.14
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952197,"-7,939.21"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952197,-86.87
Department of Health,NHS Rotherham CCG,31/07/2018,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952197,-720
Department of Health,NHS Rotherham CCG,31/07/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952197,"-15,189.49"
Department of Health,NHS Rotherham CCG,31/07/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952197,"-15,810.08"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952198,"168,921.19"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952198,"12,510.33"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952198,"8,501.25"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952198,"4,593.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952198,"19,109.79"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,23210251,"42,293.72"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23210251,"7,558.19"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,23210251,880
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952196,"93,487.10"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952196,"14,528.59"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952196,"3,011.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952196,"9,923.51"
Department of Health,NHS Rotherham CCG,31/07/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952196,"4,834.83"
Department of Health,NHS Rotherham CCG,31/07/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952196,"3,648.11"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,23210249,"34,440.07"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23210249,"10,668.90"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,23210249,317.92
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,"85,701.57"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,"2,172.88"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,762.92
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,"8,933.34"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,"1,601.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,135.79
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23185803,"8,714.50"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,23210255,"21,630.49"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,23210255,"3,647.74"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,23210255,800.8
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952202,"104,976.32"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952202,"9,300.00"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22952202,"10,888.94"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979963,-372.03
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979963,"-4,940.80"
Department of Health,NHS Rotherham CCG,31/07/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,22979963,-54.76
