Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/03/2018,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,AGE UK ROTHERHAM,21328402,"45,000.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,21225966,"110,213.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,21146115,"26,541.85 "
Department of Health,NHS Rotherham CCG,31/03/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,21225963,"41,051.32 "
Department of Health,NHS Rotherham CCG,31/03/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,21349472,"46,830.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-APMS LES Quality Premium,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,21380900,"140,000.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,21380900,"391,000.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Practice Transformational Support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,21380911,"100,000.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,21108156,"834,804.00 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,"37,834.34 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,"2,560.25 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,"3,629.25 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,57.69 
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,"1,894.36 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,"1,051.90 "
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,156.25 
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,531.00 
Department of Health,NHS Rotherham CCG,31/03/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21219632,170.67 
