Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22040755,"143,180.00 "
Department of Health,NHS Rotherham CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,21935959,"143,180.00 "
Department of Health,NHS Rotherham CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,21935965,"289,821.34 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22157008,"(26,541.87)"
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22157009,"34,405.77 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22208361,"34,405.77 "
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,21769496,"26,541.87 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,22040681,"57,555.47 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,22040743,"(57,555.47)"
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,22156947,"56,509.05 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,22396598,"57,555.47 "
Department of Health,NHS Rotherham CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,21935913,"30,948.00 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,22156981,"52,570.00 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,22040713,"40,865.00 "
Department of Health,NHS Rotherham CCG,31/05/2018,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,22040720,"55,989.00 "
Department of Health,NHS Rotherham CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,21935966,"853,272.00 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109218,"37,183.94 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109218,"1,051.90 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109218,"2,833.33 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109218,"1,179.08 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109218,179.14 
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109218,"3,091.85 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109206,"97,331.45 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109206,"7,331.33 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109206,"4,872.00 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109206,"9,960.27 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109223,"93,927.58 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109223,73.64 
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109223,"8,208.00 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22363799,"45,457.96 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22363799,123.39 
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22363799,"2,991.67 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22363799,316.00 
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22363799,"5,377.31 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109230,"110,797.25 "
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109230,28.76 
Department of Health,NHS Rotherham CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM NHS GP PRACTICE,22109230,"1,726.73 "
