Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/05/2020,Prescribing,MEDICINES MANAGEMENT - CLINICAL,AMCARE LTD,32362093,"85,358.81"
Department of Health,NHS Rotherham CCG,31/05/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,32166670,"177,735.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,32104999,"147,813.00"
Department of Health,NHS Rotherham CCG,30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,31889129,"26,187.00"
Department of Health,NHS Rotherham CCG,31/05/2020,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,32215467,"62,136.00"
Department of Health,NHS Rotherham CCG,31/05/2020,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,32215472,"58,268.00"
Department of Health,NHS Rotherham CCG,31/05/2020,Hlthcre-Foundation Trsts,LEARNING DIFFICULTIES,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,32166697,"67,050.00"
Department of Health,NHS Rotherham CCG,31/05/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,32166676,"842,299.00"
Department of Health,NHS Rotherham CCG,31/05/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,32215437,"76,743.00"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,"39,152.70"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,727.9
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,991.45
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,"2,833.33"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,774
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,160.69
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288885,"3,168.86"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,"102,238.22"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,0.71
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,"1,900.57"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,"1,437.60"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,"7,331.33"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,"5,068.25"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,"10,425.94"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288883,0.1
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288887,"94,688.68"
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288887,0.42
Department of Health,NHS Rotherham CCG,31/05/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32288887,"1,764.97"
