Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/10/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,29227020,"149,100.00"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,29227053,"25,613.94"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,29369516,"49,555.00"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,29227012,"50,008.00"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,29369523,"47,408.00"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,29369512,"19,011.79"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,29369512,"8,882.71"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,29369512,"19,479.95"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,29549799,"57,463.00"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,29549814,"41,941.00"
Department of Health,NHS Rotherham CCG,31/10/2019,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,29592412,"61,278.00"
Department of Health,NHS Rotherham CCG,31/10/2019,Telecoms-Mobile Phones,IM&T,DELL CORPORATION LTD,29588687,"38,604.06"
Department of Health,NHS Rotherham CCG,30/09/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,29116813,"809,381.00"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,"38,500.36"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,5.37
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,733.15
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,996.69
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,"2,833.33"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,662.00
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298402,"3,168.86"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298400,"99,883.30"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298400,"1,887.18"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298400,719.80
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298400,"7,331.33"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298400,"2,492.00"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298400,"10,425.94"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298404,"93,657.00"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298404,40.56
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298404,"1,778.35"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298404,"25,397.75"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298404,"8,615.94"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29542053,"45,830.22"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29542053,61.70
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29542053,955.79
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29542053,"2,991.67"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29542053,355.32
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29542053,"5,424.35"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,"112,079.62"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,21.20
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,"2,122.28"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,"22,468.93"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,"1,810.03"
Department of Health,NHS Rotherham CCG,31/10/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,"9,254.42"
Department of Health,NHS Rotherham CCG,31/10/2019,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,"1,444.24"
Department of Health,NHS Rotherham CCG,31/10/2019,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,29298409,332.95
