Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/12/2017,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,ARDENS HEALTH INFORMATICS LTD,20166883,"71,531.40 "
Department of Health,NHS Rotherham CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,19970348,"110,213.00 "
Department of Health,NHS Rotherham CCG,31/12/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20047586,"26,541.85 "
Department of Health,NHS Rotherham CCG,31/12/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,20227901,"41,051.32 "
Department of Health,NHS Rotherham CCG,31/12/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,20047653,"46,830.00 "
Department of Health,NHS Rotherham CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,19925064,"827,504.33 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"35,824.38 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"2,560.25 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"1,120.00 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"3,629.25 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,3.04 
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"1,880.85 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"1,400.73 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"1,406.25 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,637.20 
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,34.13 
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017171,"3,300.53 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"93,830.49 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"5,503.35 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"2,240.00 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"1,077.92 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"2,965.93 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"7,331.33 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"2,570.40 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017169,"9,545.93 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017173,"91,016.70 "
Department of Health,NHS Rotherham CCG,31/12/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,20017173,"1,020.33 "
