Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,30/06/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,17604021,"110,213.00",,6012620
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,17551130,"26,541.85",,74047
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17551310,"41,051.32",,100044564
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17707373,"33,423.16",,100044268
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,17722550,"34,860.42",,100045307
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,17722554,"25,101.28",,100045306
Department of Health,NHS Rotherham CCG,30/06/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,17468033,"27,390.00",,4537966
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,17551313,"46,830.00",,MAN80065
Department of Health,NHS Rotherham CCG,30/06/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,17707277,"38,935.00",,MAN70598
Department of Health,NHS Rotherham CCG,30/06/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,17486600,"837,676.00",,56380634
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"35,824.38",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"1,276.00",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"4,155.69",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"3,629.25",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"1,842.60",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"2,677.08",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"1,008.30",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,531,,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"13,740.71",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574456,"3,300.53",,ROT000008313
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"93,355.94",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"2,552.00",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"1,077.92",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"2,862.66",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"6,926.67",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"2,142.00",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"54,091.40",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574454,"9,545.93",,ROT000008311
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"90,978.09",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"1,020.33",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,1.42,,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"5,327.00",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"3,402.30",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"3,275.00",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"5,345.83",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"4,958.85",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"37,205.46",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574458,"9,058.03",,ROT000008315
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"2,552.00",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"4,645.41",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"44,288.33",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,185.09,,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"2,698.59",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"2,991.67",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,285,,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,118.22,,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"23,671.89",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789719,"5,826.52",,ROT000008388
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"109,006.52",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"1,856.00",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"1,348.67",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,20.87,,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"3,534.75",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"1,777.14",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"49,058.79",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17574463,"11,408.17",,ROT000008321
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"7,192.00",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"8,568.56",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"83,423.94",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"3,858.30",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"3,757.07",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"6,994.79",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"1,916.00",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"52,928.23",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17789721,"9,824.76",,ROT000008390
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17589416,"90,382.95",,ROT000008317
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Dispensing Quality Sch,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17589416,"6,279.72",,ROT000008317
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17589416,"4,022.08",,ROT000008317
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17589416,"7,157.29",,ROT000008317
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17589416,"14,424.42",,ROT000008317
Department of Health,NHS Rotherham CCG,30/06/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,17589416,"8,082.77",,ROT000008317
