Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/05/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,17154505,"110,213.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16933145,"26,541.85"
Department of Health,NHS Rotherham CCG,31/05/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,17154501,"26,541.85"
Department of Health,NHS Rotherham CCG,31/05/2017,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,CARE HOMES CLAIMS LTD,17447314,"77,250.80"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17046954,"26,541.90"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17046937,"37,945.92"
Department of Health,NHS Rotherham CCG,31/05/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17154478,"41,051.32"
Department of Health,NHS Rotherham CCG,31/05/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17154593,"41,051.32"
Department of Health,NHS Rotherham CCG,31/05/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,17351937,"33,905.34"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,16933186,"46,830.00"
Department of Health,NHS Rotherham CCG,31/05/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,17312985,"46,830.00"
