Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,24743724,"143,180.00"
Department of Health,NHS Rotherham CCG,30/11/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,24743721,"34,405.77"
Department of Health,NHS Rotherham CCG,30/11/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,24743736,"56,509.05"
Department of Health,NHS Rotherham CCG,30/11/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,24939118,"-29,023.44"
Department of Health,NHS Rotherham CCG,30/11/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,24866444,"52,570.00"
Department of Health,NHS Rotherham CCG,31/10/2018,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,24502661,"55,989.00"
Department of Health,NHS Rotherham CCG,31/10/2018,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,CYGNET CLIFTON LTD,24513768,"30,240.00"
Department of Health,NHS Rotherham CCG,31/10/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,24513725,"844,038.00"
Department of Health,NHS Rotherham CCG,30/11/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,24667406,"38,330.32"
Department of Health,NHS Rotherham CCG,30/11/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,24667406,"1,051.90"
Department of Health,NHS Rotherham CCG,30/11/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,24667406,"2,833.33"
