Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/12/2018,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,25080352,"50,000.00",,INV0052
Department of Health,NHS Rotherham CCG,31/12/2018,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,25080354,"25,000.00",,INV0051
Department of Health,NHS Rotherham CCG,31/12/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,25047187,"143,180.00",654911819,6017715
Department of Health,NHS Rotherham CCG,31/12/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,25080216,"34,405.77",GB235134980,101048
Department of Health,NHS Rotherham CCG,31/12/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,25171079,"56,509.05",,100082392
Department of Health,NHS Rotherham CCG,31/12/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,25363134,"31,967.79",,100083516
Department of Health,NHS Rotherham CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,24783183,"29,571.00",654915709,4547680
Department of Health,NHS Rotherham CCG,31/12/2018,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CYGNET HEALTH CARE LTD,25309703,"31,570.38",,MAS0073485
Department of Health,NHS Rotherham CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,24915475,"844,038.00",654400067,56395704
Department of Health,NHS Rotherham CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,24971186,"-306,282.00",654400067,56395910
Department of Health,NHS Rotherham CCG,31/12/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25106256,"38,190.89",,ROT000010941
Department of Health,NHS Rotherham CCG,31/12/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25106256,"2,584.00",,ROT000010941
Department of Health,NHS Rotherham CCG,31/12/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25106256,"1,120.00",,ROT000010941
Department of Health,NHS Rotherham CCG,31/12/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25106256,"1,565.85",,ROT000010941
Department of Health,NHS Rotherham CCG,31/12/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25106256,"1,051.90",,ROT000010941
Department of Health,NHS Rotherham CCG,31/12/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,25106256,"2,833.33",,ROT000010941
