Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1090634,"(49,832.00)",654400165
Department of Health,NHS Rotherham CCG,30/09/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1275060,"(34,439.91)",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1060246,"27,840.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1090209,"31,923.74",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1291496,"31,923.74",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),1090517,"32,000.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,1147610,"33,713.89",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,1311672,"33,713.89",
Department of Health,NHS Rotherham CCG,30/09/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1275063,"41,740.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1090645,"42,787.00",654400165
Department of Health,NHS Rotherham CCG,30/09/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1275061,"61,592.62",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1311671,"74,086.48",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1069593,"82,260.21",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,NHS SHEFFIELD CCG,1090223,"97,966.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1090357,"103,761.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1134742,"111,058.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,1090225,"156,403.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1134880,"161,265.00",654400165
Department of Health,NHS Rotherham CCG,30/09/2013,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,1071431,"163,113.55",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1060273,"190,688.50",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1060264,"250,000.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,1195036,"277,339.46",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,1069572,"278,663.43",
Department of Health,NHS Rotherham CCG,30/09/2013,Social Care-Direct Payments,REABLEMENT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1060267,"449,500.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1134754,"532,851.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1060259,"655,022.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,1060224,"898,983.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1081190,"980,074.00",
Department of Health,NHS Rotherham CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1134898,"1,550,207.00",654400165
