Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/09/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,18827431,"44,727.00 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,18933647,"110,213.00 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,18682116,"26,541.85 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,18768532,"41,051.32 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,18827393,"48,823.21 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,18933299,"26,878.68 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,19019809,"46,525.16 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,19019812,"(46,525.16)",
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,18768541,"46,830.00 ",
Department of Health,NHS Rotherham CCG,30/09/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,18682085,"835,717.00 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,"35,824.38 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,"5,120.50 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,"3,629.25 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,0.49 ,
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,"1,842.60 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,"2,677.08 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,"1,008.30 ",
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,531.00 ,
Department of Health,NHS Rotherham CCG,30/09/2017,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18758121,164.17 ,
