Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5005078,"-185,528.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5005082,"-182,965.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,5005078,"-164,822.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,5005082,"-153,450.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,4893792,"34,252.22",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,4953860,"34,252.22",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5160713,"62,759.60",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,4893541,"72,383.88",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,5048043,"153,128.83",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,5048048,"153,128.91",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,5033407,"153,450.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5048048,"158,352.42",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5048043,"158,352.50",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,5033373,"164,822.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5033407,"182,965.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5033373,"185,528.00",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5048037,"311,481.33",594959072
Department of Health,NHS Rotherham CCG,30/09/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,5117549,"-150,488.00",
Department of Health,NHS Rotherham CCG,30/09/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,5127993,"-29,537.32",
Department of Health,NHS Rotherham CCG,30/09/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,5127995,"55,968.54",
