Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/10/2017,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,AGE UK ROTHERHAM,19261844,"45,000.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,19146079,"110,213.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,19228167,"41,825.00"
Department of Health,NHS Rotherham CCG,30/09/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,19032236,"26,541.85"
Department of Health,NHS Rotherham CCG,31/10/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,19146072,"41,051.32"
Department of Health,NHS Rotherham CCG,31/10/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,19298946,"25,650.72"
Department of Health,NHS Rotherham CCG,31/10/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,19146090,"46,830.00"
Department of Health,NHS Rotherham CCG,31/10/2017,C&M-PMS Practice Transformational Support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,19433232,"25,500.00"
Department of Health,NHS Rotherham CCG,31/10/2017,C&M-PMS Practice Transformational Support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,19433373,"-25,500.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,19433252,"40,865.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,19439920,"58,250.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,19067166,"835,717.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,19102773,"183,553.00"
Department of Health,NHS Rotherham CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,19102838,"-67,046.00"
Department of Health,NHS Rotherham CCG,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19137555,"35,824.38"
