Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,30087299,"149,100.00",654911819,6021443
Department of Health,NHS Rotherham CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,30383055,"86,710.00",654911819,6021765
Department of Health,NHS Rotherham CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,30383057,"-86,710.00",654911819,1
Department of Health,NHS Rotherham CCG,31/12/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,30070559,"25,613.94",GB235134980,118923
Department of Health,NHS Rotherham CCG,31/12/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,30070621,"49,555.00",,100106054
Department of Health,NHS Rotherham CCG,31/12/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,30383102,"56,739.05",,100107081
Department of Health,NHS Rotherham CCG,31/12/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,30279495,"47,408.00",,MAN11360
Department of Health,NHS Rotherham CCG,31/12/2019,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,30306638,"25,654.00",,MAN11289
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS LES Extended Hours,GP FORWARD VIEW,CONNECT HEALTHCARE ROTHERHAM LTD,30189944,"303,531.00",,CHR024
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,30331067,"19,011.79",,CHR026
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,30331067,"8,882.71",,CHR026
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,30331067,"19,479.95",,CHR026
Department of Health,NHS Rotherham CCG,31/12/2019,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,CYGNET BEHAVIOURAL HEALTH LTD,30252249,"-25,132.00",GB 248 2803 96,AHO09618CN
Department of Health,NHS Rotherham CCG,31/12/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29882554,"25,907.00",635823528,7402570366
Department of Health,NHS Rotherham CCG,31/12/2019,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,29900015,"25,907.00",635823528,7402570149
Department of Health,NHS Rotherham CCG,30/11/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,29993045,"809,381.00",654400067,56404429
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,"38,500.36",,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,8.17,,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,733.15,,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,"1,151.21",,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,996.69,,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,"2,833.33",,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,662,,ROT000012401
Department of Health,NHS Rotherham CCG,31/12/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,30123487,"3,168.86",,ROT000012401
