Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,30/04/2018,Clinical&Medical-Serv Recd-F Trsts,CHILD AND ADOLESCENT MENTAL HEALTH,PENNINE CARE NHS FOUNDATION TRUST,21590888,33750,-
Department of Health,NHS Stockport CCG,30/04/2018,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,VIADUCT HEALTH LTD,21590909,213000,-
Department of Health,NHS Stockport CCG,30/04/2018,Clinical&Medical-Drugs,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,21593618,53790.2,-
Department of Health,NHS Stockport CCG,30/04/2018,Clinical&Medical-Drugs,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,21593620,323200.74,-
Department of Health,NHS Stockport CCG,30/04/2018,Programme Support Costs,NON RECURRENT PROGRAMMES,CARE UNBOUND LTD,21609853,148353,258456177
Department of Health,NHS Stockport CCG,30/04/2018,Programme Support Costs,NON RECURRENT PROGRAMMES,CARE UNBOUND LTD,21609984,-148353,258456177
Department of Health,NHS Stockport CCG,30/04/2018,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,21610039,149608.65,-
Department of Health,NHS Stockport CCG,30/04/2018,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,VIADUCT CARE LTD,21610071,297000,-
Department of Health,NHS Stockport CCG,30/04/2018,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,VIADUCT CARE LTD,21610074,121250,-
Department of Health,NHS Stockport CCG,30/04/2018,Cont Care- Children,CHC CHILDREN,STOCKPORT METROPOLITAN BOROUGH COUNCIL,21624333,170426,GB158556040
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,21657066,54178.11,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,21657066,934.27,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,21657066,8495,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,21657068,37327.49,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,21657068,108.76,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,21657068,4496.14,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,21657070,42876.93,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,21657070,140,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,21657070,737.12,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,21657070,341.52,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,21657070,5859.36,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,21657072,31864.41,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,21657072,424.57,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,21657072,2627.33,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,21657072,580.09,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,21657072,4038.34,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,21657074,28124.53,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,21657074,424.61,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,21657074,2441.67,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,21657074,8680.25,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,21657074,900.1,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,21657074,3678.47,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,21657075,-417.15,-
Department of Health,NHS Stockport CCG,30/04/2018,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,21657075,-1440.35,-
Department of Health,NHS Stockport CCG,30/04/2018,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,21657075,-17755.22,-
Department of Health,NHS Stockport CCG,30/04/2018,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,21657075,-16984.3,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,21657077,96788.91,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,21657077,887.4,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,21657077,2900,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,21657077,11400,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,21657077,692.98,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,21657077,12894.62,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,21657079,31774.75,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,21657079,398.52,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,21657079,3316.67,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,21657079,3370.04,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,21657081,980,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,21657081,1994.56,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,21657081,35909.18,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,21657081,440.1,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,21657081,319.1,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,21657081,3928.46,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,21657083,93607.43,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,21657083,77.25,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,21657083,870,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,21657083,6626.66,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,21657083,624.15,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,21657083,11271.04,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,21657085,26919.67,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,21657085,113.74,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,21657085,1416.67,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,21657085,2654.98,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,21657087,74745.78,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,21657087,737.12,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,21657087,314.34,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,21657087,10407.71,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,21657089,85032.73,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,21657089,517.22,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,21657089,3812.5,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,21657089,9344.41,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,21657091,72691.32,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,21657091,2861.76,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,21657091,717.61,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,21657091,4941.67,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,21657091,8235.85,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,21657093,1734.4,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,21657093,78049.14,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,21657093,953.44,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,21657093,5450,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,21657093,20025.14,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,21657093,10003.58,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,21657097,303.52,-
Department of Health,NHS Stockport CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,21657097,53958.22,-
