Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,4477419,605260,-
Department of Health,NHS Stockport CCG,31/08/2014,Cont Care- Children,CHC CHILDREN,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4477460,26801.42,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Drugs,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,4477501,99565.96,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,NHS ENGLAND,4477520,131938.97,654442045
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,4477558,213500,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,4516069,194701.63,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,4516301,248230.5,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,4516605,248230.5,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,4562384,56753.75,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,4562400,37805,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,4562433,36028.58,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,4562618,91487,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4562848,51760,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,4562867,2115708.08,654941709
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4562892,41465,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,4563010,51913,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,4563017,11716668,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,4563025,1626564,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,SPECSAVERS HEARCARE LTD,4618015,60507.01,854763590
Department of Health,NHS Stockport CCG,31/08/2014,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,4618556,138500,-
Department of Health,NHS Stockport CCG,31/08/2014,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,4618565,311750,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,4618619,157946,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,MASTERCALL HEALTHCARE,4618657,69143,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,4618679,1861709,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,4618694,260165,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,4680548,-55200,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,4680570,-29784.47,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,4697418,69000,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,BUSINESS INFORMATICS,NHS GREATER MANCHESTER CSU,4727191,11350,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,COMMISSIONING,NHS GREATER MANCHESTER CSU,4727191,421,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,4727191,3311,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,4727191,46897,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,4727191,9631,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,4727191,47732,-
Department of Health,NHS Stockport CCG,31/08/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,4727191,5835,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,4727306,500000,-
Department of Health,NHS Stockport CCG,31/08/2014,Programme Support Costs,PROGRAMME PROJECTS,NHS CENTRAL MANCHESTER CCG,4768755,130667,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,4780706,55200,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,STANDWALK,4780867,58564.87,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4780918,470000,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4780918,398750,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4780918,1036250,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4780918,72250,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,4780918,401000,-
Department of Health,NHS Stockport CCG,31/08/2014,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,4781106,56753.75,-
Department of Health,NHS Stockport CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4781208,1488264,-
