Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,23279927,25000,GB158556040
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,23279927,1083000,GB158556040
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,23279927,132916.67,GB158556040
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,23279927,317666.66,GB158556040
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,23279927,24083.34,GB158556040
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,23279927,100333.33,GB158556040
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL HOSPITALS NHS FOUNDATION TRUST,23279928,590742,
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL HOSPITALS NHS FOUNDATION TRUST,23279929,29211,
Department of Health,NHS Stockport CCG,31/08/2018,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,23279930,323480.58,
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,23279938,1742923,
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,23279939,12879584,
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,23279943,4108414,654415538
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,23279957,96041.06,GB654945109
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,23361831,583500,
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,23361833,-105388,
Department of Health,NHS Stockport CCG,31/08/2018,Clinical&Medical-Serv Recd-CCGs,PRIMARY CARE IT,NHS OLDHAM CCG,23361867,99767,
Department of Health,NHS Stockport CCG,31/08/2018,Other Gen Supplies & Srv,IM&T,NHS OLDHAM CCG,23361867,18487,
Department of Health,NHS Stockport CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,23361904,54945,GB654951509
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,23398204,53710.76,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,23398204,3934.9,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,23398204,1951.2,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,23398204,934.27,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,23398204,8495.05,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,23398206,37927.15,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,23398206,1560.96,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,23398206,108.76,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,23398206,4496.1,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,23398208,42852.69,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,23398208,2795.85,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,23398208,2861.76,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,23398208,341.52,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,23398208,5859.38,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,23398210,2271.45,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,23398210,216.8,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,23398210,31862.25,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,23398210,424.57,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,23398210,2627.33,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,23398210,4038.3,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,23398212,28176.72,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,23398212,2133.7,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,23398212,424.61,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,23398212,2441.67,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,23398212,94.53,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,23398212,3678.48,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,23398214,6115.63,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,23398214,84507.53,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,23398214,1526.02,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,23398214,9679.61,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,23398216,96038.73,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,23398216,6874.2,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,23398216,780.48,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,23398216,887.4,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,23398216,2900,
Department of Health,NHS Stockport CCG,31/08/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,23398216,12894.65,
