Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,8/31/2020,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,SALFORD ROYAL NHS FOUNDATION TRUST,33398216,156209,654939786
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Serv Recd-CCGs,PALLIATIVE CARE,NHS ENGLAND,33398265,27868,654 442 045
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33398297,-104664,654425730
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33398309,-117696,654425730
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Serv Recd-CCGs,PRIMARY CARE IT,NHS OLDHAM CCG,33407225,-5838,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Serv Recd-CCGs,PRIMARY CARE IT,NHS OLDHAM CCG,33407225,-3459,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Serv Recd-CCGs,PRIMARY CARE IT,NHS OLDHAM CCG,33407225,-25727,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,33422138,-25000,654974295
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,33456642,40207,654951901
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,33456643,190414,654919892
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,33456644,40664,GB654929594
Department of Health,NHS Stockport CCG,8/31/2020,Hlthcre-Foundation Trsts,NCAS/OATS,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33456645,25586,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,33456646,4611490,654415538
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,MERSEY CARE NHS FOUNDATION TRUST,33456648,27078,654412841
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,33456649,949075,654435138
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Serv Recd-NHS Trst,NHS 111,NORTH WEST AMBULANCE SERVICE NHS TRUST,33456650,74615,654435138
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,33456651,813247,654939786
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,33456652,158203,654945109
Department of Health,NHS Stockport CCG,8/31/2020,Hlthcre-Foundation Trsts,NCAS/OATS,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,33456653,36939,654948687
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST,33456654,49003,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,33456655,14373018,654974295
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,33456656,1679738,654974295
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33456659,2892762,654425730
Department of Health,NHS Stockport CCG,8/31/2020,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,THE CHRISTIE NHS FOUNDATION TRUST,33456660,334106,654916118
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,33456661,57371,654418333
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HEATON MOOR MEDICAL GROUP,33464653,37386.15,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,33468256,-75758,654919892
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,VIADUCT CARE LTD,33468348,197916.24,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,VIADUCT CARE LTD,33468365,185304,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,VIADUCT CARE LTD,33468381,565972.08,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,VIADUCT CARE LTD,33468402,565972.08,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33468429,33155.06,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33488030,1114.06,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33488030,56672.15,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33488030,8230.19,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33488032,807.12,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33488032,41407.6,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33488032,248652.06,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33488032,4635.05,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33488034,1261.33,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33488034,63609.01,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33488034,7351.24,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33488036,140,"""-"""
Department of Health,NHS Stockport CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33488036,33424.32,"""-"""
