Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,10062948,"-431,773.00",654939786
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,MASTERCALL HEALTHCARE,10062979,"29,250.00",-
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Independent Sector,WINTER PRESSURES,MASTERCALL HEALTHCARE,10062979,"6,468.06",-
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,NHS ENGLAND,10062993,"150,017.90",654 442 045
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,MANCHESTER SURGICAL SERVICES,10063005,"25,113.04",-
Department of Health,NHS Stockport CCG,31/12/2015,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,STOCKPORT NHS FOUNDATION TRUST,10087525,"115,739.27",-
Department of Health,NHS Stockport CCG,31/12/2015,Miscellaneous Expenditure (L9),CORPORATE COSTS & SERVICES,NHS GREATER MANCHESTER CSU,10088020,"26,134.00",-
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,LOCAL ENHANCED SERVICES,VIADUCT HEALTH LTD,10105346,"74,157.00",-
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,10120532,"188,278.92",-
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,10120709,"45,617.00",-
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,10120781,"84,906.83",-
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10120793,"1,548,029.33",-
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,10120876,"645,631.00",654435138
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,10120907,"2,153,209.33",654941709
Department of Health,NHS Stockport CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,10120956,"44,497.00",GB654951509
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,10121036,"163,919.12",-
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,10121044,"312,914.44",-
Department of Health,NHS Stockport CCG,31/12/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,10121203,"62,724.08",-
