Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/12/2018,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,MARIA MALLABAND CARE GROUP,25003103,30112.15,-
Department of Health,NHS Stockport CCG,31/12/2018,Services From Local Authorities,SAFEGUARDING,STOCKPORT METROPOLITAN BOROUGH COUNCIL,25003106,32000,GB158556040
Department of Health,NHS Stockport CCG,31/12/2018,Hcare Srv Rec NHS Trust-Over/ Under Performance,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,25025239,34940,654435138
Department of Health,NHS Stockport CCG,31/12/2018,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,25025427,29440,654425730
Department of Health,NHS Stockport CCG,31/12/2018,Clinical&Medical-Commercial Sector,LOCAL ENHANCED SERVICES,PRIMARY EYECARE SERVICES LTD,25076085,30894,-
Department of Health,NHS Stockport CCG,31/12/2018,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE LTD,25076096,38333.33,GB235134980
Department of Health,NHS Stockport CCG,31/12/2018,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE LTD,25076098,466659.6,GB235134980
Department of Health,NHS Stockport CCG,31/12/2018,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,25076113,33871.18,654945109
Department of Health,NHS Stockport CCG,31/12/2018,Clinical&Medical-Commercial Sector,PLANNED CARE,ABL HEALTH LTD,25076115,27390.67,-
Department of Health,NHS Stockport CCG,31/12/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,25105378,54219.27,-
Department of Health,NHS Stockport CCG,31/12/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,25105378,3934.9,-
Department of Health,NHS Stockport CCG,31/12/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,25105378,934.27,-
