Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,12/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,34822550,-25536,594959072
Department of Health,NHS Stockport CCG,12/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,NEW CARE OPCO (WOODFORD) LTD,34823131,424478.57,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,34844569,47015,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,ASC HEALTHCARE LTD,34844947,43268.7,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET (DH) LTD,34844951,34224,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,34852292,247905,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,MASTERCALL HEALTHCARE,34852293,55527.02,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,34852294,54139,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,ASC HEALTHCARE LTD,34867551,44710.99,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,34876315,62727.22,"""-"""
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,SPECSAVERS HEARCARE LTD,34876318,27120.44,163836882
Department of Health,NHS Stockport CCG,12/31/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,MORELIFE (UK) LTD,34876342,30000,106 1800 58
