Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,28/02/2019,External Consultancy Fees,NON RECURRENT PROGRAMMES,CORDIS BRIGHT LTD,25822317,23770.71,722524753
Department of Health,NHS Stockport CCG,28/02/2019,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,25828025,900087,GB158556040
Department of Health,NHS Stockport CCG,28/02/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,25882175,-104351,654425730
Department of Health,NHS Stockport CCG,28/02/2019,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,25905074,56805.63,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Hcare Srv Rec NHS Trust,NCAS/OATS,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,25924019,50905.89,654973788
Department of Health,NHS Stockport CCG,28/02/2019,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,25924020,355707,654415538
Department of Health,NHS Stockport CCG,28/02/2019,Clinical&Medical-Serv Recd-CCGs,PRIMARY CARE IT,NHS OLDHAM CCG,25924023,99767,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,IM&T,NHS OLDHAM CCG,25924023,18487,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,COLLABORATIVE COMMISSIONING,NHS OLDHAM CCG,25924024,1978,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,CONTRACT MANAGEMENT,NHS OLDHAM CCG,25924024,22555,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,HUMAN RESOURCES,NHS OLDHAM CCG,25924024,10374,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,IM&T,NHS OLDHAM CCG,25924024,2184,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,MEDICINES MANAGEMENT - CLINICAL,NHS OLDHAM CCG,25924024,8857,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Other Gen Supplies & Srv,NHS 111,NHS OLDHAM CCG,25924024,1861,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,25924025,54945,GB654951509
Department of Health,NHS Stockport CCG,28/02/2019,Clinical&Medical-Commercial Sector,PLANNED CARE,DIAGNOSTIC HEALTHCARE LTD,25924026,49488.84,204941917
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,25935103,54262.25,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,25935103,934.27,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,25935103,8495.05,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,25935106,38727.32,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,25935106,420,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,25935106,737.12,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,25935106,108.76,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,25935106,4496.1,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,25935109,43734.86,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,25935109,341.52,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,25935109,5859.38,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,25935113,28429.1,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,25935113,424.61,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,25935113,2441.67,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,25935113,102.78,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,25935113,3678.48,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,25935117,840,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,25935117,85262.63,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,25935117,1526.02,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,25935117,9679.61,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,25935120,96994.65,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,25935120,887.4,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,25935120,2900,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,25935120,12894.65,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,25935124,31756.51,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,25935124,398.52,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,25935124,3316.67,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,25935124,3370.09,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,25935127,420,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,25935127,36881.09,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,25935127,440.1,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,25935127,3928.52,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,25935131,93443.69,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,25935131,346.88,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,25935131,77.25,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,25935131,870,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,25935131,6626.66,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,25935131,11271.09,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,25935136,27515.96,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,25935136,113.74,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,25935136,1416.67,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,25935136,2654.95,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,25935142,86636.92,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,25935142,560,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,25935142,1560.96,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,25935142,517.22,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,25935142,3812.5,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,25935142,9344.42,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,25935146,73490.43,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,25935146,2240,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,25935146,780.48,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,25935146,717.61,"""-"""
Department of Health,NHS Stockport CCG,28/02/2019,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,25935146,4941.67,"""-"""
