Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,HOSPICES,ST ANNES HOSPICE,6306303,118758,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,6306374,248230.5,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,6314604,252425,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,6314633,62724.07,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,6314675,194701.63,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,6314788,2115708.08,654941709
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,6314844,37805,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,6314854,605260,654435138
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,6314870,95259,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,6314882,11716668,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,6314889,1642859,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6314965,1488264.17,-
Department of Health,NHS Stockport CCG,31/01/2015,External Consultancy Fees,STRATEGY & DEVELOPMENT,BDO LLP,6339135,130923.79,830847032
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HEATON MOOR MEDICAL CENTRE,6339744,25428,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HEATON MOOR HEALTH CENTRE,6339758,32257,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,6351305,25880,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,6351326,25880,-
Department of Health,NHS Stockport CCG,31/01/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,6351721,49640.24,-
Department of Health,NHS Stockport CCG,31/01/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,6351791,30112.94,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,6351842,157946,-
Department of Health,NHS Stockport CCG,31/01/2015,Soc Care-Integrated Records Or IT,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,6369532,70743.78,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6369576,-149547,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Serv Recd-NHS Trst,NHS 111,NORTH WEST AMBULANCE SERVICE NHS TRUST,6409626,25710,654435138
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,6409839,208440,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,6409882,1878376,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,6502381,36028.58,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,ULTRASOUND NOW,6502461,45398.42,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,6502487,25880,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,6518402,62724.08,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,6518547,56753.75,-
Department of Health,NHS Stockport CCG,31/01/2015,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,6518740,27084,-
Department of Health,NHS Stockport CCG,31/01/2015,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,6545679,3311,-
Department of Health,NHS Stockport CCG,31/01/2015,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,6545679,46897,-
Department of Health,NHS Stockport CCG,31/01/2015,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,6545679,7680,-
Department of Health,NHS Stockport CCG,31/01/2015,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,6545679,45420,-
Department of Health,NHS Stockport CCG,31/01/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,6545679,5835,-
Department of Health,NHS Stockport CCG,31/01/2015,Hcare Srv Rec NHS Trust,NCAS/OATS,EAST CHESHIRE NHS TRUST,6561002,194701.63,-
Department of Health,NHS Stockport CCG,31/01/2015,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,6591212,52528.08,-
Department of Health,NHS Stockport CCG,31/01/2015,C&M-PMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,6591212,56846.92,-
