Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/07/2016,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARE CONCEPTS LTD,13329712,10970.29,-
Department of Health,NHS Stockport CCG,31/07/2016,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,CARE CONCEPTS LTD,13329712,15619.62,-
Department of Health,NHS Stockport CCG,31/07/2016,Utilisation-Other Provs/Liabs<1Yr,BALANCE SHEET,NHS OLDHAM CCG,13329788,46375,-
Department of Health,NHS Stockport CCG,31/07/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,13387588,76427.88,-
Department of Health,NHS Stockport CCG,31/07/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,13387604,213008.68,-
Department of Health,NHS Stockport CCG,31/07/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,13387610,-76427.88,-
Department of Health,NHS Stockport CCG,31/07/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,13387615,-213008.68,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,13388084,2029998,-
Department of Health,NHS Stockport CCG,31/07/2016,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,MASTERCALL HEALTHCARE,13388100,29250,-
Department of Health,NHS Stockport CCG,31/07/2016,Clinical&Medical-Commercial Sector,WINTER PRESSURES,MASTERCALL HEALTHCARE,13388100,6468.06,-
Department of Health,NHS Stockport CCG,31/07/2016,Clinical&Medical-Commercial Sector,WINTER PRESSURES,MASTERCALL HEALTHCARE,13388104,69203.34,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395312,45400,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395314,35917,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395316,45400,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395319,35917,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395320,35917,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395321,35917,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395326,45400,-
Department of Health,NHS Stockport CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Variation,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,13395327,45400,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,13396721,57976.78,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,13396721,2414.58,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,13396721,6984.52,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,13396724,41011.34,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,13396724,823.84,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,13396724,1707.6,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,13396724,4924.39,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,13396726,2379.75,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,13396726,650.4,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,13396726,30891.4,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,13396726,849.14,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,13396726,2627.33,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,13396726,3950.21,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,13396728,28112.21,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,13396728,2094.28,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,13396728,1295.42,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,13396728,2216.67,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,13396728,91.65,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,13396728,3280.5,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,13396730,6132.73,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,13396730,2204,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,13396730,77086.36,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,13396730,3052.03,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,13396730,9175.52,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,88164.78,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,6784.43,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,1214.08,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,10000,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,4436.99,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,2895.83,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,11694.02,-
Department of Health,NHS Stockport CCG,31/07/2016,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,13396732,328.23,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,13396734,29301.2,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,13396734,1127.36,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,13396734,1992.61,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,13396734,3316.67,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,13396734,2955.75,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,13396736,2370.25,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,13396736,696,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,13396736,31769.54,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,13396736,880.21,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,13396736,133.84,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,13396736,3860.68,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,88995.09,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,650.4,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,2207.55,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,2890.35,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,870,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,6427.08,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,13396738,11775.28,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,1766.53,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,260.16,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,23994.26,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,227.47,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,1395.83,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,408.49,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,13396740,2498.04,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,13396742,67405.45,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,13396742,4150.55,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,13396742,737.12,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,13396742,1571.71,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,13396742,10269.45,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,13396744,77312.1,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,13396744,2211.36,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,13396744,5058.93,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,13396744,3083.33,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,13396744,8720.44,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,13396745,67092.64,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,13396745,5246.38,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,13396745,3480,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,13396745,8364.51,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,13396745,3588.04,-
Department of Health,NHS Stockport CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,13396745,2687.5,-
