Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,31/07/2018,External Consultancy Fees,NON RECURRENT PROGRAMMES,CORDIS BRIGHT LTD,22883169,23770.71,722524753
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,22916910,-50892.2,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,22916920,-167445.15,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,22931966,151593.24,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,22931970,72885.68,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,22931975,124838.66,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,22931977,89918.93,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,22931979,100513,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,22931980,65158,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - ADULTS,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,22931994,34685.44,
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,22931996,70962.36,156725100
Department of Health,NHS Stockport CCG,31/07/2018,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,22932026,29440,
Department of Health,NHS Stockport CCG,31/07/2018,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,22932032,70962.36,156725100
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22952258,53710.76,
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22952258,934.27,
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22952258,31935.19,
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22952258,8495.05,
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22952260,37927.15,
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22952260,650.4,
Department of Health,NHS Stockport CCG,31/07/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22952260,108.76,
