Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,MASTERCALL HEALTHCARE,32976035,55527.02,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,TRANSITIONAL REHABILITATION UNIT LTD,32976113,-55460,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33033406,799813.37,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Othe Public Sector,PLANNED CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33033664,41703,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,MORELIFE (UK) LTD,33033669,30000,106 1800 58
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,1114.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,56672.15,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,7357.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,10230.29,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,3034.44,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,368.76,"""-"""
