Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,30/06/2014,Services From Local Authorities,PROGRAMME PROJECTS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,3307050,"26,038.57",-
Department of Health,NHS Stockport CCG,30/06/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,3810869,"67,354.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,SOUTH MANCHESTER PRIVATE CLINIC,3811066,"25,581.26",-
Department of Health,NHS Stockport CCG,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,3811334,"605,260.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,BUSINESS INFORMATICS,NHS GREATER MANCHESTER CSU,3811388,"11,350.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,COMMISSIONING,NHS GREATER MANCHESTER CSU,3811388,421,-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,3811388,"3,311.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,3811388,"56,980.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,3811388,"9,631.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,3811388,"54,434.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,3811388,"5,835.00",-
Department of Health,NHS Stockport CCG,30/06/2014,C&M-PMS LES Imp Acc Psyclgcl Thrps,COMMISSIONING - NON ACUTE,NHS BURY CCG,3811398,"32,001.00",-
Department of Health,NHS Stockport CCG,30/06/2014,Clinical&Medical-Commercial Sector,HOSPICES,ST ANNES HOSPICE,3864997,"67,073.00",-
