Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,27495221,25000,GB158556040
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,27495221,1083000,GB158556040
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,27495221,132916.67,GB158556040
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,27495221,317666.66,GB158556040
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,27495221,24083.34,GB158556040
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,27495221,100333.33,GB158556040
Department of Health,NHS Stockport CCG,30/06/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,27495243,4533039.75,654415538
Department of Health,NHS Stockport CCG,30/06/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,27510374,133487.48,654945109
Department of Health,NHS Stockport CCG,30/06/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL HOSPITALS NHS FOUNDATION TRUST,27510499,753920,65 4939786
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE LTD,27510587,496341.08,GB235134980
Department of Health,NHS Stockport CCG,30/06/2019,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,MERSEY CARE NHS FOUNDATION TRUST,27523011,230000,654412841
Department of Health,NHS Stockport CCG,30/06/2019,Soc Care-Integrated Records Or IT,PRIMARY CARE IT,GRAPHNET HEALTH LTD,27568219,203691.07,650603758
Department of Health,NHS Stockport CCG,30/06/2019,Clinical&Medical-Independent Sector,WINTER PRESSURES,MASTERCALL HEALTHCARE,27574082,61564,"""-"""
