Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET (DH) LTD,32555120,33120,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,OAKWOOD HOUSE PSYCHOLOGICAL SERVICES & TRAINING LTD,32555184,48144.38,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE LTD,32580994,-120167.87,GB235134980
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,32593276,353815,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,32593322,58808,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,NATIONAL UNPLANNED PREGNANCY ADVISORY SERVICE,32607456,28281.58,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,MORELIFE (UK) LTD,32607696,30000,106 1800 58
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,MORELIFE (UK) LTD,32607709,30000,106 1800 58
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,32647230,245264,938297867
Department of Health,NHS Stockport CCG,6/30/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,32647235,39288.5,938297867
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,32672657,-16726.44,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,32672657,-260.17,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,32672657,-4457.34,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,32672657,-5104.89,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,32672659,1261.33,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,32672659,63902.27,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,32672659,700,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,32672659,9070,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,32672659,36030.04,"""-"""
Department of Health,NHS Stockport CCG,6/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,32672659,22053.67,"""-"""
