Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,SPECSAVERS HEARCARE LTD,6955511,37328.44,854763590
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,SOUTH MANCHESTER PRIVATE CLINIC,7016807,30677.96,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7016822,103028,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,ULTRASOUND NOW,7017110,48234.32,-
Department of Health,NHS Stockport CCG,31/03/2015,External Consultancy Fees,STRATEGY & DEVELOPMENT,BDO LLP,7068965,51642.96,830847032
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7084554,-96590,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,MASTERCALL HEALTHCARE,7084637,35718.06,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,7084660,51913,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,7084677,194701.63,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,7084699,43403,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,7084705,62724.08,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7084728,1488264.17,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,7084736,248230.5,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,7084743,605259,654435138
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,7084789,95955,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,MASTERCALL HEALTHCARE,7084897,35718.06,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7084923,26340,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,7084966,2115708.08,654941709
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,NHS BURY CCG,7103860,51820,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,NHS SALFORD CCG,7103917,145937.55,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Cost per Case,ACUTE COMMISSIONING,NHS SALFORD CCG,7103917,81246.19,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7104091,401000,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7104091,72250,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7104091,-932416.66,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7104091,398750,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7104091,470000,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7104091,952000,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,7104210,36028.58,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,7104516,11706547,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,7104523,1659677,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,7157716,30793,-
Department of Health,NHS Stockport CCG,31/03/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,7157859,-33664.15,-
Department of Health,NHS Stockport CCG,31/03/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,NHS ENGLAND,7157877,119847.48,654 442 045
Department of Health,NHS Stockport CCG,31/03/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,7157924,5835,-
Department of Health,NHS Stockport CCG,31/03/2015,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,7157924,45420,-
