Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Commercial Sector,PLANNED CARE,MANCHESTER SURGICAL SERVICES,11989820,25795.22,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,LIGHTHOUSE HEALTHCARE,12019874,46710.76,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,12043486,31180.53,-
Department of Health,NHS Stockport CCG,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,12043487,45617,-
Department of Health,NHS Stockport CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12043489,1548029.33,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,12043491,312914.44,-
Department of Health,NHS Stockport CCG,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,12043492,167044.62,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,12043493,101289.69,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,12043493,24072.86,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,12043493,317195.31,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,12043493,132858.85,-
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,12043493,957583.29,-
Department of Health,NHS Stockport CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,12043494,2153209.33,654941709
Department of Health,NHS Stockport CCG,31/05/2016,Clinical&Medical-Commercial Sector,PLANNED CARE,ABL HEALTH LTD,12043495,30779,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,NHS 111,NHS OLDHAM CCG,12043497,1412,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,MEDICINES MANAGEMENT - CLINICAL,NHS OLDHAM CCG,12043497,6448,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,IM&T,NHS OLDHAM CCG,12043497,1617,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,HUMAN RESOURCES,NHS OLDHAM CCG,12043497,7975,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,CONTRACT MANAGEMENT,NHS OLDHAM CCG,12043497,19237,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,COMMUNICATIONS & PR,NHS OLDHAM CCG,12043497,3392,-
Department of Health,NHS Stockport CCG,31/05/2016,Other Gen Supplies & Srv,IM&T,NHS OLDHAM CCG,12043499,21544,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS OLDHAM CCG,12043499,63530.15,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS OLDHAM CCG,12043499,69037.85,-
Department of Health,NHS Stockport CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,12043504,56568,GB654951509
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,12052656,3711.83,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,12052656,3139,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,12052656,1694.06,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,12052656,30424.33,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,12052659,563.68,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,12052659,3847.69,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,12052659,30680.26,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,12052659,849.14,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,12052659,2627.33,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,12052659,3950.21,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,12052661,3280.5,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,12052661,2216.67,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,12052661,1295.42,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,12052661,3280.97,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,12052661,260.16,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,12052661,29525.58,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,12052663,928,-
Department of Health,NHS Stockport CCG,31/05/2016,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,12052663,10023.09,-
