Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,31/05/2018,Cont Care- Children,CHC CHILDREN,STOCKPORT METROPOLITAN BOROUGH COUNCIL,22015015,39215.5,GB158556040
Department of Health,NHS Stockport CCG,31/05/2018,Cont Care-Learning Disab(<65),CHC AD FULL FUND PERS HLTH BUD,STOCKPORT METROPOLITAN BOROUGH COUNCIL,22015016,49640.24,GB158556040
Department of Health,NHS Stockport CCG,31/05/2018,Cont Care- Children,CHC CHILDREN,STOCKPORT METROPOLITAN BOROUGH COUNCIL,22015018,40679.58,GB158556040
Department of Health,NHS Stockport CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,22015080,4239392.75,654415538
Department of Health,NHS Stockport CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Non Contract,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,22015161,42350,
Department of Health,NHS Stockport CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,22015164,1578300,
Department of Health,NHS Stockport CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,22015165,13241196,
Department of Health,NHS Stockport CCG,31/05/2018,Services From Local Authorities,NON RECURRENT PROGRAMMES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,22021196,750000,GB158556040
Department of Health,NHS Stockport CCG,31/05/2018,Clinical&Medical-Commercial Sector,Winter Resilience,OAKWOOD HOUSE PSYCHOLOGICAL SERVICES & TRAINING LTD,22037796,44867.43,
Department of Health,NHS Stockport CCG,31/05/2018,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,22054390,30112.94,GB158556040
Department of Health,NHS Stockport CCG,31/05/2018,Other Gen Supplies & Srv,COLLABORATIVE COMMISSIONING,NHS OLDHAM CCG,22090670,1978,
Department of Health,NHS Stockport CCG,31/05/2018,Other Gen Supplies & Srv,CONTRACT MANAGEMENT,NHS OLDHAM CCG,22090670,22555,
Department of Health,NHS Stockport CCG,31/05/2018,Other Gen Supplies & Srv,HUMAN RESOURCES,NHS OLDHAM CCG,22090670,10374,
Department of Health,NHS Stockport CCG,31/05/2018,Other Gen Supplies & Srv,IM&T,NHS OLDHAM CCG,22090670,2184,
Department of Health,NHS Stockport CCG,31/05/2018,Other Gen Supplies & Srv,MEDICINES MANAGEMENT - CLINICAL,NHS OLDHAM CCG,22090670,8857,
Department of Health,NHS Stockport CCG,31/05/2018,Other Gen Supplies & Srv,NHS 111,NHS OLDHAM CCG,22090670,1861,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22110076,54178.11,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22110076,934.27,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22110076,7392,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22110076,7702.47,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22110076,233.07,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,22110076,8495.05,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22110078,37327.49,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22110078,1540,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22110078,108.76,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22110078,41934.04,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,22110078,4496.1,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,22110079,42876.93,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,22110079,1257.44,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,22110079,341.52,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,22110079,25281.98,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,22110079,63172.83,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,22110079,5859.38,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,420,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,31864.41,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,424.57,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,2627.33,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,3156.77,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,301.46,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,22110081,4038.3,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,22110083,28124.53,
Department of Health,NHS Stockport CCG,31/05/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,22110083,1120,
