Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,30/11/2015,Miscellaneous Expenditure (L9),CORPORATE COSTS & SERVICES,NHS GREATER MANCHESTER CSU,9720138,"25,818.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,9737965,"45,617.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,9738053,"188,278.92",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9738093,"1,548,029.33",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,HOSPICES,ST ANNES HOSPICE,9738097,"118,868.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9738218,"312,914.44",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9738234,"72,620.96",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,NHS ENGLAND,9738271,"138,909.75",654 442 045
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,9738310,"368,122.00",654939786
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,9738413,"86,572.28",-
Department of Health,NHS Stockport CCG,30/11/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,9766473,"5,835.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,9766473,"23,649.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,9766473,"7,679.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,9766473,"21,171.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,9766473,"3,311.00",-
Department of Health,NHS Stockport CCG,30/11/2015,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,9766479,"56,292.90",-
Department of Health,NHS Stockport CCG,30/11/2015,C&M-PMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,9766479,"61,173.10",-
Department of Health,NHS Stockport CCG,30/11/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9777123,"49,640.24",-
Department of Health,NHS Stockport CCG,30/11/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9777143,"30,112.94",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,9777273,"53,032.00",654435138
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,9777315,"645,631.00",654435138
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,9777351,"2,153,209.33",654941709
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,NCAS/OATS,BETSI CADWALADR UNIVERSITY LHB,9777361,"91,949.00",654439560
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,9777440,"62,724.08",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,MANCHESTER SURGICAL SERVICES,9777458,"29,771.99",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9815058,"957,583.29",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9815058,"132,858.85",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9815058,"317,195.31",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9815058,"24,072.86",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9815058,"101,289.69",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9849007,"604,417.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,9849044,"28,177.30",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,9849076,"11,935,147.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,9849079,"1,584,991.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,9849090,"44,497.00",GB654951509
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,9849108,"56,753.75",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,9849120,"1,952,606.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,9864158,"35,460.02",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,ULTRASOUND NOW,9864815,"49,145.07",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Non Contract,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,9896291,"46,233.17",-
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,9896333,"28,423.00",654939786
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9896655,"251,675.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,9941715,"298,478.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,9957403,"35,992.00",938297867
Department of Health,NHS Stockport CCG,30/11/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,9957425,"112,349.79",938297867
Department of Health,NHS Stockport CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9957589,"257,304.00",-
Department of Health,NHS Stockport CCG,30/11/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,NATIONAL AUTISTIC SOCIETY,9975883,"-60,413.36",-
Department of Health,NHS Stockport CCG,30/11/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,NATIONAL AUTISTIC SOCIETY,9975897,"-25,525.53",-
