Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,19532778,25676.04,654929594
Department of Health,NHS Stockport CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,19532780,127163.47,654929594
Department of Health,NHS Stockport CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,19532781,-127163.47,654929594
Department of Health,NHS Stockport CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,19532782,35207.55,654929594
Department of Health,NHS Stockport CCG,30/11/2017,Clinical&Medical-Commercial Sector,PLANNED CARE,ABL HEALTH LTD,19532785,27390.67,-
Department of Health,NHS Stockport CCG,30/11/2017,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,19570852,26357.5,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,19592486,52820.26,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,19592486,1994.56,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,19592486,23781.17,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,19592486,8928.86,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,19592488,34075.81,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,19592488,420,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,19592488,390.24,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,19592488,326.27,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,19592488,4093.69,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,19592490,42219.12,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,19592490,1387.52,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,19592490,1024.56,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,19592490,5522.55,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,280,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,31133.03,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,636.85,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,7502.54,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,2627.33,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,4353.28,-
Department of Health,NHS Stockport CCG,30/11/2017,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,3551.78,-
Department of Health,NHS Stockport CCG,30/11/2017,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,19592492,5371.28,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,19592494,27408.71,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,19592494,980,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,19592494,1273.83,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,19592494,2441.67,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,19592494,92.37,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSWOOD ROAD SURGERY,19592494,3478.21,-
Department of Health,NHS Stockport CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,19592496,81960.69,-
