Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,11/30/2020,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,34449321,35293.44,GB158556040
Department of Health,NHS Stockport CCG,11/30/2020,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,34449332,30590.85,GB158556040
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,34454457,38753,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,34494859,33602,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,34494868,43672,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,ELYSIUM HEALTHCARE LTD,34494872,32400.54,GB257732580
Department of Health,NHS Stockport CCG,11/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,PARTNERSHIPS IN CARE LTD,34494916,34684,GB 626524835
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,34506492,190414,654919892
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,34506493,4611490,654415538
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,34506495,949075,654435138
Department of Health,NHS Stockport CCG,11/30/2020,Clinical&Medical-Serv Recd-NHS Trst,NHS 111,NORTH WEST AMBULANCE SERVICE NHS TRUST,34506496,90115,654435138
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,34506497,813247,654939786
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,34506498,158203,654945109
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST,34506499,49003,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,34506500,14373018,654974295
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,34506501,1679738,654974295
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,34506504,2892762,654425730
Department of Health,NHS Stockport CCG,11/30/2020,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,THE CHRISTIE NHS FOUNDATION TRUST,34506505,344106,654916118
Department of Health,NHS Stockport CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,34506506,57371,654418333
Department of Health,NHS Stockport CCG,11/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,34518525,1114.06,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,34518525,56651.36,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,34518525,8230.19,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34518527,807.12,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34518527,42390.08,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34518527,4635.05,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34518529,1261.33,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34518529,63580.31,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34518529,7351.24,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34518531,420,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34518531,33492.23,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34518531,669.87,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34518531,2627.33,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34518531,3931.04,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34518533,87826.75,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34518533,1739.1,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34518533,10228.42,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34518535,103436.61,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34518535,2047.96,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34518535,2900,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34518535,11938.04,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34518537,662.33,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34518537,32715.25,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34518537,4912.5,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34518537,3597.6,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,34518539,39496.7,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,34518539,786.12,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,34518539,3987.29,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34518541,1934.62,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34518541,97282.06,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34518541,140,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34518541,7951.25,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34518541,11629.22,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34518543,28943.78,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34518543,569.42,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34518543,1491.67,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34518543,2510.32,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34518545,81307.95,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34518545,1603.32,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34518545,139909.79,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34518545,9854.46,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518546,-17430.5,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518546,-434.13,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518546,-7907.49,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518546,-8076.76,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,92861.67,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,1833.84,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,7904,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,3812.5,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,17371.92,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,137.02,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,34518547,9777.46,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,34518549,3330,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,34518549,77217.22,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,34518549,6977.28,"""-"""
Department of Health,NHS Stockport CCG,11/30/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,34518549,3474.2,"""-"""
