Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,5245098,44562.72,654941709
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,5245101,-67279.11,654941709
Department of Health,NHS Stockport CCG,31/10/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,5245106,70970,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,5245109,160418.74,654941709
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,5245141,68361.04,654941709
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5245173,1488264,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,5245174,194701.63,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,5245399,37805,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,5245420,605260,654435138
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,5245572,51913,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,5245642,36028.58,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,5245647,2115708.08,654941709
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,5245795,157946,-
Department of Health,NHS Stockport CCG,31/10/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,5245800,248230.5,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,5245818,92703,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,5260413,27309.88,-
Department of Health,NHS Stockport CCG,31/10/2014,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,BEECHWOOD CANCER CARE CENTRE,5278506,127008.28,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,NHS SALFORD CCG,5278562,152965,-
Department of Health,NHS Stockport CCG,31/10/2014,Clinical&Medical-Commercial Sector,HOSPICES,ST ANNES HOSPICE,5278601,118758,-
Department of Health,NHS Stockport CCG,31/10/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,5278764,30112.94,-
Department of Health,NHS Stockport CCG,31/10/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,5279013,49640.24,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5334566,235550,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5334769,210842,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5334790,105991,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,WINTER PRESSURES,PENNINE CARE NHS FOUNDATION TRUST,5334958,69000,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,5335742,11716668,-
Department of Health,NHS Stockport CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,5336047,1861709,-
Department of Health,NHS Stockport CCG,31/10/2014,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,5336065,250125,-
