Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,10/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,34078712,33155.06,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,Clinical&Medical-Commercial Sector,LOCAL ENHANCED SERVICES,PRIMARY EYECARE SERVICES LTD,34089410,33687,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,Clinical&Medical-Commercial Sector,LOCAL ENHANCED SERVICES,PRIMARY EYECARE SERVICES LTD,34089421,41154,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,Healthcare Srv Rec CCG,PROGRAMME PROJECTS,NHS MANCHESTER CCG,34089429,60434.38,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,Cont Care-Physical Disab (65+),CHC AD FULL FUND PERS HLTH BUD,DAVID MARTYN JACKSON 01W,34089458,61604.91,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,Clinical&Medical-Commercial Sector,HOSPICES,BEECHWOOD CANCER CARE CENTRE,34089463,127008.28,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,Telecoms-Phone Rental and Calls,PRIMARY CARE IT,SALFORD ROYAL NHS FOUNDATION TRUST,34149977,-29879.33,654939786
Department of Health,NHS Stockport CCG,10/31/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,34149985,301224,938297867
Department of Health,NHS Stockport CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,34166914,1114.06,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,34166914,56651.36,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,34166914,8230.19,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34166916,807.12,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34166916,42390.08,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34166916,42557.04,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,34166916,4635.05,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34166918,1261.33,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-APMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34166918,4195.15,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34166918,63580.31,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34166918,375988.35,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,34166918,7351.24,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34166920,33492.23,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34166920,669.87,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34166920,2627.33,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34166920,249.16,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,34166920,3931.04,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166921,-405.26,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166921,-19464.72,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166921,-4966.82,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166921,-6186.11,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166921,-18273.56,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166922,87826.75,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166922,1739.1,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,34166922,10228.42,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34166924,103436.61,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34166924,2047.96,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34166924,2900,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,34166924,11938.04,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34166926,662.33,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34166926,32715.25,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34166926,4912.5,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34166926,2242.06,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,34166926,3597.6,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,34166928,39496.7,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,34166928,786.12,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,34166928,3987.29,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34166930,1934.62,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34166930,97282.06,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34166930,7951.25,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34166930,1051.06,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,34166930,11629.22,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34166932,28943.78,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34166932,569.42,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34166932,1491.67,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,34166932,2510.32,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166933,-298.86,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166933,-251.88,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166933,-251.88,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166933,-7011.58,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166933,-7101.89,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166933,-15978.16,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166934,81307.95,"""-"""
Department of Health,NHS Stockport CCG,10/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,34166934,1603.32,"""-"""
