Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Serv Recd-NHS Trst,NHS 111,NORTH WEST AMBULANCE SERVICE NHS TRUST,9082350,25599,654435138
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,9082432,29495.86,938297867
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,9082862,83589.3,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,9082913,62724.08,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,9083061,116821.02,938297867
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,ULTRASOUND NOW,9083700,47516.35,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,9083840,305920,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,9083995,102168.46,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9084021,255580,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,SPECSAVERS HEARCARE LTD,9084149,37112.86,854763492
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,9180743,188278.92,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,9180759,27096,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,9180778,45617,-
Department of Health,NHS Stockport CCG,30/09/2015,Cont Care- Children,CHC CHILDREN,STOCKPORT METROPOLITAN BOROUGH COUNCIL,9180796,78772.02,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9180842,1548029.33,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,9180850,2153209.33,654941709
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,9180894,85942.08,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,9181065,1581658,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,9181075,11935147,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,9181190,56753.75,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,9181326,27096,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,9181397,44497,GB654951509
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,9191434,11935147,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,9191435,1597524,-
Department of Health,NHS Stockport CCG,30/09/2015,Miscellaneous Expenditure (L9),CORPORATE COSTS & SERVICES,NHS OLDHAM CCG,9215732,40055,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9215800,312914.44,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,MASTERCALL HEALTHCARE,9215892,70103.34,-
Department of Health,NHS Stockport CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9261115,195563,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9261125,103639.49,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,9261132,62724.09,-
Department of Health,NHS Stockport CCG,30/09/2015,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,9261135,104024.76,-
