Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,9/30/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CW HAMILTON,33753224,27140.28,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,C&M-APMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,GOTODOC LTD,33753341,28510,248096482
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CARETECH COMMUNITY SERVICES LTD,33753365,27290.34,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,33753368,45161.17,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,33753382,45161.17,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,ST ANDREWS HEALTHCARE,33753384,29981.25,120948773
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET (DH) LTD,33753386,25668,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33753393,1155060,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33753393,132916.27,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33753393,317666.66,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33753393,24083.74,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33753393,100333.33,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,33753396,40664,GB654929594
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33753437,33155.06,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST,33753562,-77225,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Programme Support Costs,PRC DELEGATED CO-COMMISSIONING,STOCKPORT LMC,33787335,28515.68,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,PARTNERSHIPS IN CARE LTD,33787378,27720,GB 626524835
Department of Health,NHS Stockport CCG,9/30/2020,Computer Software/License,MEDICINES MANAGEMENT - CLINICAL,FIRST DATABANK UK LTD,33787422,117628.26,585 826 589
Department of Health,NHS Stockport CCG,9/30/2020,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,SEASHELL TRUST,33787425,42967.33,"""-"""
Department of Health,NHS Stockport CCG,9/30/2020,Services From Local Authorities,SAFEGUARDING,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33787430,38000,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Services From Local Authorities,SAFEGUARDING,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33787434,32000,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33787507,30590.85,GB158556040
Department of Health,NHS Stockport CCG,9/30/2020,Cont Care-Learning Disab(<65),CHC AD FULL FUND PERS HLTH BUD,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33787509,49640.24,GB158556040
